"today","base","enumerateur","uuid","question.name","ancienne.valeur","nouvelle.valeur","parent.other.question","parent.other.answer","probleme","checkid","action"
"2020-08-01","ouahigouya","ouahigouya_309","746b426d-4f15-409c-b1ec-b5b8abdc871a","fcs_score","16.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-01","ouahigouya","ouahigouya_308","7382caac-a9f1-45d3-a663-012c3e50b071","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_412","a1942e23-a36e-4479-bbaf-ee997e2d67dc","fcs_score","14.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_412","58087c0c-81da-428f-93fd-cbf03b09cc3f","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","ouahigouya","ouahigouya_309","bd4edc74-facc-4de3-aec2-09158cbdb624","fcs_score","18.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","koudougou","koudougou_706","08768587-4951-4d8f-94d3-1f5c6db97f41","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","koudougou","koudougou_705","9c1d09bf-2a32-481f-bf2d-40a2bfb865fa","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_405","58dbfd0d-efad-41f8-a294-1c84d07d0f60","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","koudougou","koudougou_703","7d170322-0017-47dc-a75b-1f28438f9f9f","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","ouahigouya","ouahigouya_307","baf83b2a-8af3-4605-860e-b7a38378e072","fcs_score","15",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","ouahigouya","ouahigouya_310","e051cd1f-6e7b-464b-a354-5f23e1095457","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","ouahigouya","ouahigouya_308","c4afd424-1ab7-42cf-ac88-2bb5cff33de7","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","fada","fada_412","b9637cc3-bc01-4a3e-81b4-d411401d84d6","fcs_score","17.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","dori","dori_108","5ee2c79b-22f3-4a6a-9cd2-0b275951db90","fcs_score","16.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","koudougou","koudougou_705","ad9337d2-7a97-4fa9-9c84-3d08035447d5","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","tenkodogo","tenkodogo_802","9896c8f8-c975-423c-8e1d-9bf0b6df6098","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","tenkodogo","tenkodogo_802","2ded586c-ecbe-4df5-880f-1cf0f92f5fe1","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","ouahigouya","ouahigouya_309","937359c9-afb7-4df5-bd4c-3801950996f9","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","koudougou","koudougou_706","6fe7781e-9b4d-4e19-9e95-54d3bff681ae","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","ouahigouya","ouahigouya_304","bc2f9c69-0137-45b2-8106-aa8d6c464be9","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_406","18bf85a5-75a6-4841-b780-82fa812ad044","fcs_score","16.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_406","e00e39ed-0e57-4101-a31a-e615a054d5c3","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-02","fada","fada_406","f9386fbe-5bfe-48f9-bba0-0bed7980c102","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","kaya","kaya_210","c9253dc9-b93e-447c-bf7a-2e1a73aa4787","fcs_score","15.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-03","ouahigouya","ouahigouya_307","c024644f-0f03-4c7a-bd20-64f63380eecc","fcs_score","19",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","fada","fada_412","8b9c51f1-94cf-4b17-8041-4d908d9e9749","fcs_score","20.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","tenkodogo","tenkodogo_801","1e069084-1131-4734-a0d9-3fd06e0df654","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","fada","fada_406","c842c7a7-b1fa-4bdf-adc0-9ca5d65c3fff","fcs_score","18",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","tenkodogo","tenkodogo_802","d2b04f9a-414f-4bab-863a-81a1336c151d","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","tenkodogo","tenkodogo_802","378cec5c-7e38-452f-b626-3b7eb1c8e059","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","tenkodogo","tenkodogo_802","378cec5c-7e38-452f-b626-3b7eb1c8e059","fcs_score","20",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
"2020-08-04","tenkodogo","tenkodogo_802","33c43b69-e89b-4667-a6b9-d043a6e395a8","fcs_score","19.5",NA,NA,NA,"Score de consommation alimentaire est faible","id24","check"
