,id_sampl,FID,strata_id,psu_id,population,ADM3_FR,ADM3_PCODE,ADM3_REF,ADM3ALT1FR,ADM3ALT2FR,ADM2_FR,ADM2_PCODE,ADM1_FR,ADM1_PCODE,SumDist,proba,survey_buffer,POINT_X,POINT_Y,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_featureNam,NEAR_pcode,Exclude,Include,Check Exclure,Visité (Oui/NON),Jour visité,enquêtes faites,manque Enquètes?,Equipe,Responsable,Date enquête
174,id_4104,4103,BF47,BX-501,1642.293376,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.003274822,4,-4.769911711,10.6277491,1067,6.46E-03,-4.766667,10.633333,Banfora,BF4701010028,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
175,id_4257,4256,BF47,CC-499,3335.90842,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.006651981,4,-4.735683625,10.63960606,1092,1.07E-02,-4.733333,10.65,Tatana,BF4701010031,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
176,id_4340,4339,BF47,CC-498,3379.898421,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.0067397,4,-4.735683625,10.6475107,1092,3.42E-03,-4.733333,10.65,Tatana,BF4701010031,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
177,id_4339,NA,BF47,CB-498,2096.856721,Banfora,BF470101,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.004181245,4,-4.742529242,10.65146302,1092,9.31E-03,-4.733333,10.65,Tatana,BF4701010031,NA,X,NA,NA,NA,NA,-4,6,Margot,NA
178,id_5224,5223,BF47,CD-484,1007.62334,Bérégadougou,BF470102,Beregadougou,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.002009255,4,-4.728838007,10.76212795,1220,1.72E-02,-4.716667,10.75,Niankadougou,BF4701020005,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
179,id_7,6,BF47,DY-598,1475.460339,Mangodara,BF470103,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.002942148,4,-4.407093999,9.857046913,75,1.20E-02,-4.4,9.866667,Tourendougou,BF4701030008,NA,NA,AU CHOIX CT,NA,NA,NA,-4,6,Margot,NA
180,id_94,NA,BF47,ES-591,537.4891236,Mangodara,BF470103,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.001071782,4,-4.270181655,9.912379378,109,1.38E-02,-4.283333,9.916667,Noumoukedougou,BF4701030011,NA,X,NA,NA,NA,NA,-4,6,Margot,NA
181,id_5780,5779,BF47,AY-475,1202.487401,Moussodougou,BF470104,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.002397825,4,-4.94105214,10.82931737,1292,9.81E-03,-4.95,10.833333,Moussobadougou,BF4701040004,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
182,id_5971,5970,BF47,BP-472,178.655271,Moussodougou,BF470104,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.000356248,4,-4.824676648,10.8569836,1314,1.06E-02,-4.816667,10.85,Mondon,BF4701040005,NA,NA,NA,NA,NA,NA,-4,6,Margot,NA
183,id_5972,5971,BF47,BQ-472,535.9658131,Moussodougou,BF470104,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.001068745,8,-4.817831031,10.85303128,1314,3.25E-03,-4.816667,10.85,Mondon,BF4701040005,NA,NA,NA,NA,NA,NA,-8,6,Margot,NA
184,id_163,162,BF47,CK-585,1535.518351,Niangoloko,BF470105,NA,NA,NA,Comoé,BF4701,Cascades,BF47,501490.9371,0.003061906,4,-4.680918687,9.959807205,134,1.01E-02,-4.683333,9.95,Folenso,BF4701050002,NA,NA,AU CHOIX CT,NA,NA,NA,-4,6,Margot,NA
